Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Cadence,Max Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Total Reps,Total Sets,Body Battery Drain,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Stress Change,Stress Start,Stress End,Avg Stress,Max Stress,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Walking,2026-05-24 19:07:08,false,"Paris Walking","0.81","47","00:10:37","110","119","0.3","106","122","13:04","9:49","8","--","0.72","--","--","--","--","--","0.0","--","--","1,156","--","--","-1","No","00:10:37","1","--","--","--","--","--","--","--","--","--","00:10:17","00:10:37","36","49"
Walking,2026-05-24 17:50:04,false,"Paris Walking","0.85","63","00:16:17","103","119","0.4","71","150","19:13","6:59","5","11","0.73","--","--","--","--","--","0.0","--","--","1,292","--","--","-1","No","00:16:17","1","--","--","--","--","--","--","--","--","--","00:11:06","00:16:17","36","49"
Walking,2026-05-24 12:39:14,false,"Paris Walking","0.51","36","00:10:40","93","111","0.2","52","158","20:47","7:34","10","8","0.93","--","--","--","--","--","0.0","--","--","796","--","--","--","No","00:10:40","1","--","--","--","--","--","--","--","--","--","00:07:42","00:10:40","38","45"
Walking,2026-05-23 10:25:26,false,"Vélizy-Villacoublay Walking","0.67","60","00:17:45","95","119","0.2","50","158","26:25","8:05","3","3","0.75","--","--","--","--","--","0.0","--","--","1,100","--","--","-1","No","00:17:45","1","--","--","--","--","--","--","--","--","--","00:11:15","00:17:45","174","181"
Walking,2026-05-21 19:00:04,false,"Paris Walking","0.36","32","00:05:14.3","129","150","0.6","85","122","14:43","6:03","5","5","0.80","--","--","--","--","--","0.0","--","--","498","--","--","--","No","00:05:14.3","1","--","--","--","--","--","--","--","--","--","00:04:50","00:05:14.3","29","35"
Walking,2026-05-20 09:23:21,false,"Gennevilliers Walking","0.42","35","00:07:26.8","113","130","0.3","70","123","17:44","5:50","--","--","0.81","--","--","--","--","--","0.0","--","--","602","--","--","--","No","00:07:26.8","1","--","--","--","--","--","--","--","--","--","00:04:33","00:07:26.8","29","32"
Walking,2026-05-19 17:34:46,false,"Paris Walking","0.78","61","00:11:16","120","141","0.7","82","143","14:26","8:12","3","--","0.85","--","--","--","--","--","0.0","--","--","968","--","--","-2","No","00:11:16","1","--","--","--","--","--","--","--","--","--","00:07:29","00:11:16","38","45"
Walking,2026-05-19 08:28:23,false,"Gennevilliers Walking","0.86","60","00:14:36","105","126","0.3","72","124","17:00","9:04","2","1","0.82","--","--","--","--","--","0.0","--","--","1,184","--","--","--","No","00:14:36","1","--","--","--","--","--","--","--","--","--","00:09:35","00:14:36","28","32"
Walking,2026-05-18 08:51:52,false,"Gennevilliers Walking","0.82","56","00:10:54","119","139","0.5","93","125","13:16","3:28","--","--","0.81","--","--","--","--","--","0.0","--","--","1,138","--","--","--","No","00:10:54","1","--","--","--","--","--","--","--","--","--","00:08:51","00:10:54","28","32"
Walking,2026-05-16 21:48:01,false,"Paris Walking","0.48","38","00:06:18.6","124","141","0.7","104","128","13:09","6:21","--","--","0.73","--","--","--","--","--","0.0","--","--","690","--","--","-1","No","00:00:01.4","2","--","--","--","--","--","--","--","--","--","00:05:54","00:06:18.6","41","46"
Running,2026-05-16 15:58:36,false,"Paris Running","0.59","33","00:07:33.7","100","106","0.2","111","121","12:50","5:40","4","13","0.75","7.9","5.8","--","--","103","0.0","98","181","846","--","--","--","No","00:07:33.7","1","--","--","--","--","--","--","--","--","--","00:07:23","00:07:33.7","39","50"
Walking,2026-05-15 11:52:44,false,"Paris Walking","0.84","52","00:12:23","98","113","0.3","89","119","14:45","4:57","23","6","0.76","--","--","--","--","--","0.0","--","--","1,158","--","--","--","No","00:12:23","1","--","--","--","--","--","--","--","--","--","00:10:04","00:12:23","35","59"
Walking,2026-05-13 08:44:11,false,"Gennevilliers Walking","0.38","26","00:05:21.7","111","123","0.2","101","120","14:16","8:40","--","--","0.69","--","--","--","--","--","0.0","--","--","586","--","--","--","No","00:05:21.7","1","--","--","--","--","--","--","--","--","--","00:05:03","00:05:21.7","29","32"
Walking,2026-05-12 22:18:56,false,"Paris Walking","0.36","28","00:06:38.5","102","130","0.2","86","163","18:36","8:05","--","7","0.62","--","--","--","--","--","0.0","--","--","618","--","--","--","No","00:06:38.5","1","--","--","--","--","--","--","--","--","--","00:05:55","00:06:38.5","39","48"
Walking,2026-05-12 09:18:59,false,"Gennevilliers Walking","0.56","44","00:09:12.3","111","130","0.3","85","128","16:23","7:52","3","--","0.72","--","--","--","--","--","0.0","--","--","850","--","--","-1","No","00:09:12.3","1","--","--","--","--","--","--","--","--","--","00:06:54","00:09:12.3","28","32"
Walking,2026-05-11 08:59:19,false,"Gennevilliers Walking","0.64","45","00:10:27","106","124","0.3","78","122","16:14","7:30","3","2","0.79","--","--","--","--","--","0.0","--","--","880","--","--","--","No","00:10:27","1","--","--","--","--","--","--","--","--","--","00:07:24","00:10:27","28","32"
Walking,2026-05-09 20:46:20,false,"Amsterdam Walking","0.91","56","00:13:44","98","109","0.3","88","225","15:02","6:17","--","--","0.75","--","--","--","--","--","0.0","--","--","1,270","--","--","-1","No","00:13:44","1","--","--","--","--","--","--","--","--","--","00:10:29","00:13:44","3","11"
Walking,2026-05-09 19:29:05,false,"Amsterdam Walking","0.59","48","00:10:36","107","120","0.4","70","124","17:51","2:20","6","4","0.80","--","--","--","--","--","0.0","--","--","802","--","--","--","No","00:10:36","1","--","--","--","--","--","--","--","--","--","00:06:37","00:10:36","3","10"
Walking,2026-05-09 18:15:19,false,"Amsterdam Walking","0.81","59","00:12:54","114","128","0.4","76","143","16:01","10:09","5","10","0.82","--","--","--","--","--","0.0","--","--","1,176","--","--","--","No","00:12:54","1","--","--","--","--","--","--","--","--","--","00:10:31","00:12:54","3","11"
Walking,2026-05-09 15:36:38,false,"Amsterdam Walking","1.67","97","00:20:56","114","128","0.6","101","125","12:35","7:00","14","15","0.79","--","--","--","--","--","0.0","--","--","2,256","--","--","-2","No","00:08:38.6","2","--","--","--","--","--","--","--","--","--","00:20:15","00:20:56","4","21"
Walking,2026-05-09 14:34:16,false,"Amsterdam Walking","0.60","46","00:12:02","104","113","0.2","66","156","20:00","1:39","4","--","0.76","--","--","--","--","--","0.0","--","--","894","--","--","--","No","00:12:02","1","--","--","--","--","--","--","--","--","--","00:08:57","00:12:02","7","14"
Walking,2026-05-09 12:34:20,false,"Amsterdam Walking","0.53","31","00:08:03.3","94","107","0.2","92","118","15:12","3:01","4","--","0.71","--","--","--","--","--","0.0","--","--","794","--","--","-1","No","00:08:03.3","1","--","--","--","--","--","--","--","--","--","00:07:23","00:08:03.3","4","10"
Walking,2026-05-08 23:34:35,false,"Amsterdam Walking","0.72","68","00:17:30","105","115","0.3","53","158","24:11","5:58","--","3","0.78","--","--","--","--","--","0.0","--","--","1,152","--","--","-1","No","00:17:30","1","--","--","--","--","--","--","--","--","--","00:11:27","00:17:30","4","10"
Walking,2026-05-08 20:49:50,false,"Amsterdam Walking","0.66","71","00:12:24","125","136","0.7","67","152","18:40","5:55","2","--","0.79","--","--","--","--","--","0.0","--","--","954","--","--","-2","No","00:12:24","1","--","--","--","--","--","--","--","--","--","00:09:07","00:12:24","5","10"
Walking,2026-05-08 18:39:58,false,"Amsterdam Walking","0.26","18","00:05:12.9","94","100","0.1","69","158","20:09","6:00","4","--","0.71","--","--","--","--","--","0.0","--","--","388","--","--","-1","No","00:05:12.9","1","--","--","--","--","--","--","--","--","--","00:03:53","00:05:12.9","9","15"
Walking,2026-05-08 18:20:58,false,"Amsterdam Walking","0.52","36","00:10:21","91","108","0.2","60","122","19:49","6:47","9","20","0.84","--","--","--","--","--","0.0","--","--","746","--","--","-1","No","00:10:21","1","--","--","--","--","--","--","--","--","--","00:06:20","00:10:21","-4","13"
Walking,2026-05-08 17:56:29,false,"Amsterdam Walking","0.82","54","00:15:52","89","108","0.2","71","122","19:26","5:58","4","11","0.72","--","--","--","--","--","0.0","--","--","1,246","--","--","--","No","00:15:52","1","--","--","--","--","--","--","--","--","--","00:11:24","00:15:52","--","10"
Walking,2026-05-08 17:12:35,false,"Amsterdam Walking","0.54","36","00:11:01","91","104","0.2","63","118","20:17","5:51","3","--","0.78","--","--","--","--","--","0.0","--","--","808","--","--","--","No","00:11:01","1","--","--","--","--","--","--","--","--","--","00:07:55","00:11:01","-1","10"
