Date,Score,Quality,Duration,Sleep Need,Bedtime,Wake Time
May 25,38,Poor,3h 17m,9h 0m,11:31 AM,2:49 PM
May 24,42,Poor,4h 47m,7h 0m,4:00 AM,9:39 AM
May 23,78,Fair,6h 30m,8h 20m,2:53 AM,9:53 AM
May 22,78,Fair,10h 23m,7h 10m,10:56 PM,9:56 AM
May 21,65,Fair,8h 49m,8h 20m,12:35 AM,9:54 AM
May 20,80,Good,8h 22m,8h 50m,11:16 PM,8:00 AM
May 19,64,Fair,6h 7m,8h 0m,12:55 AM,7:28 AM
May 18,77,Fair,8h 28m,8h 50m,11:01 PM,7:55 AM
May 17,57,Poor,6h 48m,7h 40m,1:56 AM,9:29 AM
May 16,83,Good,9h 51m,7h 0m,11:05 PM,9:08 AM
May 15,75,Fair,8h 45m,9h 0m,1:17 AM,10:07 AM
May 14,38,Poor,5h 42m,8h 40m,3:57 AM,10:18 AM
May 13,60,Fair,7h 15m,8h 20m,11:47 PM,7:28 AM
May 12,56,Poor,4h 37m,8h 0m,3:33 AM,8:24 AM
May 11,--,--,--,--,--,--
May 10,--,--,--,--,--,--
May 9,81,Good,8h 35m,8h 0m,12:52 AM,9:56 AM
May 8,71,Fair,8h 12m,8h 40m,12:56 AM,9:23 AM
May 7,70,Fair,7h 15m,8h 20m,2:01 AM,9:20 AM
May 6,75,Fair,7h 38m,8h 40m,11:40 PM,7:30 AM
May 5,76,Fair,6h 29m,8h 30m,1:02 AM,7:32 AM
May 4,60,Fair,6h 50m,8h 0m,12:15 AM,8:24 AM
May 3,75,Fair,6h 24m,7h 20m,3:12 AM,9:43 AM
May 2,78,Fair,8h 23m,8h 0m,12:09 AM,9:15 AM
May 1,78,Fair,8h 9m,8h 50m,1:53 AM,10:09 AM
Apr 30,55,Poor,6h 31m,8h 0m,12:52 AM,8:11 AM
Apr 29,79,Fair,6h 56m,8h 0m,1:00 AM,8:13 AM
Apr 28,81,Good,7h 8m,7h 0m,12:15 AM,7:35 AM
Apr 27,46,Poor,3h 29m,8h 0m,11:32 AM,3:18 PM
Apr 26,--,--,--,--,--,--
Apr 25,--,--,--,--,--,--
Apr 24,--,--,--,--,--,--
Apr 23,--,--,--,--,--,--
Apr 22,53,Poor,5h 1m,8h 0m,1:36 AM,6:45 AM
Apr 21,79,Fair,7h 29m,7h 20m,11:57 PM,7:40 AM
Apr 20,85,Good,8h 21m,7h 30m,11:00 PM,7:56 AM
Apr 19,80,Good,9h 10m,7h 0m,1:21 AM,10:45 AM
Apr 18,82,Good,8h 2m,8h 20m,1:18 AM,9:34 AM
Apr 17,75,Fair,7h 18m,8h 20m,12:39 AM,8:23 AM
Apr 16,55,Poor,7h 18m,8h 0m,11:13 PM,8:20 AM
Apr 15,79,Fair,7h 18m,8h 0m,12:24 AM,7:55 AM
